cmavo,English definition,English notes,English gloss,My definition,My notes,My gloss
da'oi,attitudinal attribution,"Whereas {dai} simply marks an attitudinal as applying to someone other than the speaker, da'oi explicitly attributes the preceding attitudinal.  In particular, dai is equivalent to da'oi na'e bo mi.",,,,
da'u,pro-sumti: a remote past utterance; She couldn't have known that IT would be true..,,,,,
dai,attitudinal modifier: marks empathetic use of preceding attitudinal; shows another's feelings.,See also {cnijmi}.,,,,
dai'i,attitudinal modifier: supposed emotion - factual emotion,"Used for emotions that are non-factual, for example when talking about hypothetical events. la'a ui dai'i mi ba te dunda lo karce lo mi patfu I will probably be given a car by my dad and I would feel happy about it if that happened.",,,,
dau,digit/number: hex digit A (decimal 10) [ten].,,,,,
dau'i,attitudinal: equal intensity attitudinal relativizer ,"Specifies an equal intensity - relative to any previously specified intensity of the same UI/cmavo. See also {mau'i}, {me'ai}, {cu'i} ",,,,
de,logically quantified existential pro-sumti: there exists something 2 (usually restricted).,,,,,
de'a,event contour for a temporary halt and ensuing pause in a process.,,,,,
de'e,pro-sumti: a near future utterance.,,,,,
de'i,"detri modal, 1st place (for letters)              dated ... ; attaches date stamp.",,,,,
de'o,binary mathematical operator: logarithm; [log/ln a to base b]; default base 10 or e.,,,,,
de'u,pro-sumti: a recent utterance.,,,,,
dei,pro-sumti: this utterance.,,,,,
dei'o,pro-sumti: this word,mnemonic: dei + zo -> dei'o,,,,
dei'u,pro-sumti: the previous word,,,,,
di,logically quantified existential pro-sumti: there exists something 3 (usually restricted).,,,,,
di'a,event contour for resumption of a paused process.,,,,,
di'ai,vocative: well-wish - curse,"Used to express well-wishes/curses. See also {dimna}, {dapma}, {ki'e}, {doi}",,,,
di'e,pro-sumti: the next utterance.,,,,,
di'i,tense interval modifier: regularly; subjective tense/modal; defaults as time tense.,,,,,
di'o,"diklo modal, 1st place                            in the location of ...",,,,,
di'u,pro-sumti: the last utterance.,,,,,
do,pro-sumti: you listener(s); identified by vocative.,,,,,
do'a,discursive: generously - parsimoniously.,See also {dunda}.,,,,
do'e,elliptical/unspecified modal.,,,,,
do'i,pro-sumti: elliptical/unspecified utterance variable.,,,,,
do'o,pro-sumti: you the listener & others unspecified.,,,,,
do'u,elidable terminator: end vocative (often elidable).,,,,,
doi,generic vocative marker; identifies intended listener; elidable after COI.,,,,,
du,"identity selbri; = sign; x1 identically equals x2, x3, etc.; attached sumti refer to same thing.",,,,,
du'a,location tense relation/direction; east of.,,,,,
du'au,Text to bridi conversion,"Roughly equivalent to just la'e, but precise about the type of the result. Inverse of {lu'au}.",,,,
du'e,digit/number: too many; subjective.,,,,,
du'i,"dunli modal, 1st place (equalled by)              equally; as much as ...",,,,,
du'o,"djuno modal, 1st place (info source)            authoritatively; according to ...; known by ...",,,,,
du'u,abstractor: predication/bridi abstractor; x1 is predication [bridi] expressed in sentence x2.,,,,,
dy,letteral for d.,,,,,
e,logical connective: sumti afterthought and.,,,,,
e'a,attitudinal: granting permission - prohibiting.,See also {curmi}.,,,,
e'e,attitudinal: competence - incompetence/inability.,"See also {kakne}, {certu}.",,,,
e'i,attitudinal: feeling constraint - independence - challenge/resistance against constraint.,"See also {selri'u}, {seljimte}.",,,,
e'o,attitudinal: request - negative request.,"See also {cpedu}, {pikci}.",,,,
e'u,attitudinal: suggestion - abandon suggest - warning.,"See also {stidi}, {kajde}.",,,,
ei,attitudinal: obligation - freedom.,"See also {bilga}, {zifre}.",,,,
fa,sumti place tag: tag 1st sumti place.,,,,,
fa'a,location tense relation/direction; arriving at/directly towards ...,,,,,
fa'e,"fatne modal, 1st place                            backwards; reverse of ...",,,,,
fa'i,unary mathematical operator: reciprocal; multiplicative inverse; [1/a].,,,,,
fa'o,unconditional end of text; outside regular grammar; used for computer input.,,,,,
fa'u,non-logical connective: respectively; unmixed ordered distributed association.,,,,,
fai,sumti place tag: tag a sumti moved out of numbered place structure; used in modal conversions.,,,,,
fau,"fasnu modal, 1st place (non-causal)               in the event of ...",,,,,
fe,sumti place tag: tag 2nd sumti place.,,,,,
fe'a,binary mathematical operator: nth root of; inverse power [a to the 1/b power].,,,,,
fe'e,mark space interval distributive aspects; labels interval tense modifiers as location-oriented.,,,,,
fe'i,n-ary mathematical operator: divided by; division operator; [(((a / b) / c) / ...)].,,,,,
fe'o,vocative: over and out (end discussion).,,,,,
fe'u,elidable terminator: end nonce conversion of selbri to modal; usually elidable.,,,,,
fei,digit/number: hex digit B (decimal 11) [eleven].,,,,,
fi,sumti place tag: tag 3rd sumti place.,,,,,
fi'a,sumti place tag: place structure number/tag question.,,,,,
fi'e,"finti modal, 1st place (creator)                  created by ...",,,,,
fi'i,vocative: hospitality - inhospitality; you are welcome/ make yourself at home.,,,,,
fi'o,convert selbri to nonce modal/sumti tag.,,,,,
fi'oi,copyrights attribution,used to mark the preceding term as being copyrighted. The copyright is attributed to the sumti inside the DOI,,,,
fi'u,"digit/number: fraction slash; default /n => 1/n, n/ => n/1, or / alone => golden ratio.",,,,,
fo,sumti place tag: tag 4th sumti place.,,,,,
fo'a,pro-sumti: he/she/it/they #6 (specified by goi).,,,,,
fo'e,pro-sumti: he/she/it/they #7 (specified by goi).,,,,,
fo'i,pro-sumti: he/she/it/they #8 (specified by goi).,,,,,
fo'o,pro-sumti: he/she/it/they #9 (specified by goi).,,,,,
fo'u,pro-sumti: he/she/it/they #10 (specified by goi).,,,,,
foi,terminator: end composite lerfu; never elidable.,,,,,
fu,sumti place tag: tag 5th sumti place.,,,,,
fu'a,reverse Polish mathematical expression (mex) operator flag.,,,,,
fu'au,discursive: luckily - not pertaining to luck - unluckily.,Expresses fortune/misfortune of the speaker. Use {dai} to express fortune/misfortune of the listener. See also {funca}.,,,,
fu'e,begin indicator long scope.,,,,,
fu'ei,begin within-context quote that need not be grammatical; terminated by fu'oi,see also {fu'oi},,,,
fu'i,attitudinal modifier: easy - difficult.,See also {frili}.,,,,
fu'o,end indicator long scope; terminates scope of all active indicators.,,,,,
fu'oi,terminates scope started with fu'ei,see also {fu'ei},,,,
fu'u,n-ary mathematical operator: elliptical/unspecified mathematical expression (mex) operator.,,,,,
fy,letteral for f.,,,,,
ga,logical connective: forethought all but tanru-internal or (with gi).,,,,,
ga'a,"zgana modal, 1st place                            to observer ... ; witnessed by ...",,,,,
ga'e,upper-case letteral shift.,,,,,
ga'i,attitudinal modifier/honorific: hauteur - equal rank - meekness; used with one of lower rank.,"See also {gapru}, {cnita}.",,,,
ga'o,closed interval bracket marker; mod. intervals in non-logical connectives; include boundaries.,,,,,
ga'oi,"evidential: I disagree with you vehemently, but offer no substantive counterarguments/information pulled from my ass",Approximately the same as '{.ie} {nai} {le'o} {ju'a}'. See {ga'i},,,,
ga'u,location tense relation/direction; upwards/up from ...,,,,,
gai,digit/number: hex digit C (decimal 12) [twelve].,,,,,
gau,"gasnu modal, 1st place agent/actor case tag       with active agent ...",,,,,
ge,logical connective: forethought all but tanru-internal and (with gi).,,,,,
ge'a,mathematical operator: null mathematical expression (mex) operator (used in >2-ary ops).,,,,,
ge'e,attitudinal: elliptical/unspecified/non-specific emotion; no particular feeling.,,,,,
ge'i,logical connective: forethought all but tanru-internal connective question (with gi).,,,,,
ge'o,shift letterals to Greek alphabet.,,,,,
ge'u,elidable terminator: end GOI relative phrases; usually elidable in non-complex phrases.,,,,,
gei,trinary mathematical operator: order of magnitude/value/base; [b * (c to the a power)].,,,,,
gi,logical connective: all but tanru-internal forethought connective medial marker.,,,,,
gi'a,logical connective: bridi-tail afterthought or.,,,,,
gi'e,logical connective: bridi-tail afterthought and.,,,,,
gi'i,logical connective: bridi-tail afterthought conn question.,,,,,
gi'o,logical connective: bridi-tail afterthought biconditional/iff/if-and-only-if.,,,,,
gi'u,logical connective: bridi-tail afterthought whether-or-not.,,,,,
go,logical connective: forethought all but tanru internal biconditional/iff/if-and-only-if(with gi).,,,,,
go'a,pro-bridi: repeats a recent bridi (usually not the last 2).,,,,,
go'e,pro-bridi: repeats the next to last bridi.,,,,,
go'i,"pro-bridi: preceding bridi; in answer to a yes/no question, repeats the claim, meaning yes.",,,,,
go'o,"pro-bridi: repeats a future bridi, normally the next one.",,,,,
go'u,pro-bridi: repeats a remote past bridi.,,,,,
goi,sumti assignment; used to define/assign ko'a/fo'a series pro-sumti; Latin 'sive'.,,,,,
gu,logical connective: forethought all but tanru-internal whether-or-not (with gi).,,,,,
gu'a,logical connective: tanru-internal forethought or (with gi).,,,,,
gu'e,logical connective: tanru-internal forethought and (with gi).,,,,,
gu'i,logical connective: tanru-internal forethought question (with gi).,,,,,
gu'o,logical connective: tanru-internal forethought biconditional/iff/if-and-only-if (with gi).,,,,,
gu'u,logical connective: tanru-internal forethought whether-or-not (with gi).,,,,,
gy,letteral for g.,,,,,
i,sentence link/continuation; continuing sentences on same topic; normally elided for new speakers.,,,,,
i'a,attitudinal: acceptance - blame.,"See also {nalna'e}, {nalpro}, {no'epro}, {nalzugjdi}.",,,,
i'e,attitudinal: approval - non-approval - disapproval.,See also {zanru}.,,,,
i'i,attitudinal: togetherness - privacy.,"See also {kansa}, {gunma}, {sivni}, {sepli}.",,,,
i'o,attitudinal: appreciation - envy.,"See also {ckire}, {jilra}.",,,,
i'u,attitudinal: familiarity - mystery.,"See also {slabu}, {nalni'o}, {kufra}.",,,,
ia,attitudinal: belief - skepticism - disbelief.,"See also {krici}, {jinvi}.",,,,
ie,attitudinal: agreement - disagreement.,See also {tugni}.,,,,
ii,attitudinal: fear - security.,"See also {terpa}, {snura}.",,,,
io,attitudinal: respect - disrespect.,See also {sinma}.,,,,
iu,attitudinal: love - no love lost - hatred.,See also {prami}.,,,,
ja,logical connective: tanru-internal afterthought or.,,,,,
ja'a,bridi logical affirmer; scope is an entire bridi.,,,,,
ja'ai,affirm last word: attached to cmavo to affirm them; denies negation by nai whenever it is applicable.,"Suggested by Mark Shoulson in 1999 as an affirmative of {nai}. By analogy with the pairs {na}/{ja'a}, {na'e}/{je'a}, and {na'i}/{jo'a}.",,,,
ja'e,"jalge modal, 1st place                            resultingly; therefore result ...",,,,,
ja'ei,jai equivalent of la'e,tu'a:jai::la'e:ja'ei. So ko'a ja'ei broda equals la'e ko'a broda,,,,
ja'i,"javni modal, 1st place (by standard 1)            orderly; by rule ...",,,,,
ja'o,evidential: I conclude.,"See also {selni'i}, {ni'ikri}.",,,,
jai,convert tense/modal (tagged) place to 1st place; 1st place moves to extra FA place (fai).,,,,,
jai'a,grammatically converts LAhE to SE; semantically the result tags the x1 of the selbri as being LAhE the supplied x1. Can be converted to other than x1 with SE.,Cf. {jai} in the TAG sense. Note that {jai} in the non-TAG sense is the same as jai'a tu'a. Example usage: lo tadni cu jai'a lu'o sruri lo dinju gi'e krixa <-> loi tadni cu sruri lo dinju gi'e jai'a lu'a krixa <-> loi tadni cu sruri lo dinju .ije lu'a lo go'i cu krixa,,,,
jau,digit/number: hex digit D (decimal 13) [thirteen].,,,,,
je,logical connective: tanru-internal afterthought and.,,,,,
je'a,scalar affirmer; denies scalar negation: Indeed!.,,,,,
je'ai,NAhE question.,,,,,
je'e,vocative: roger (ack) - negative acknowledge; used to acknowledge offers and thanks.,,,,,
je'i,logical connective: tanru-internal afterthought conn question.,,,,,
je'o,shift letterals to Hebrew alphabet.,,,,,
je'u,discursive: truth - falsity.,See also {jetnu}.,,,,
jei,abstractor: truth-value abstractor; x1 is truth value of [bridi] under epistemology x2.,,,,,
ji,logical connective: sumti afterthought connective question.,,,,,
ji'a,discursive: additionally.,See also {jmina}.,,,,
ji'e,"jimte modal, 1st place                            limitedly; up to limit ...",,,,,
ji'i,digit/number: approximately (default the typical value in this context) (number).,,,,,
ji'o,"jitro modal, 1st place (control)                  controlledly; under direction of ...",,,,,
ji'u,"jicmu modal, 1st place (assumptions);             given that ...; based on ...",,,,,
jo,logical connective: tanru-internal afterthought biconditional/iff/if-and-only-if.,,,,,
jo'a,discursive: metalinguistic affirmer.,See also {drani}.,,,,
jo'e,non-logical connective: union of sets.,,,,,
jo'i,join mathematical expression (mex) operands into an array.,,,,,
jo'o,shift letterals to Arabic alphabet.,,,,,
jo'u,non-logical connective: in common with; along with (unmixed).,,,,,
joi,"non-logical connective: mixed conjunction; and meaning mixed together, forming a mass.",,,,,
ju,logical connective: tanru-internal afterthought whether-or-not.,,,,,
ju'a,evidential: I state - (default) elliptical/non-specific basis.,See also {xusra}.,,,,
ju'e,vague non-logical connective: analogous to plain .i.,,,,,
ju'i,vocative: attention - at ease - ignore me.,,,,,
ju'o,attitudinal modifier: certainty - uncertainty - impossibility.,"See also {birti}, {cumki}.",,,,
ju'u,binary mathematical operator: number base; [a interpreted in the base b].,,,,,
jy,letteral for j.,,,,,
ka,abstractor: property/quality abstractor (-ness); x1 is quality/property exhibited by [bridi].,,,,,
ka'a,"klama modal, 1st place                            gone to by ...",,,,,
ka'ai,"kansa modal, 1 place; with .../with a companion ...",See also {kansa},,,,
ka'e,modal aspect: innate capability; possibly unrealized.,,,,,
ka'i,"krati modal, 1st place                            represented by ...",,,,,
ka'o,digit/number: imaginary i; square root of -1.,,,,,
ka'u,evidential: I know by cultural means (myth or custom).,See also {kluju'o}.,,,,
kai,"ckaji modal, 1st place                            characterizing ...",,,,,
kau,discursive: marks word serving as focus of indirect question: I know WHO went to the store.,,,,,
ke,"start grouping of tanru, etc; ... type of ... ; overrides normal tanru left grouping.","Cf. {ke'e}, {bo}.",,,,
ke'a,pro-sumti: relativized sumti (object of relative clause).,,,,,
ke'e,elidable terminator: end of tanru left grouping override (usually elidable).,,,,,
ke'i,open interval bracket marker; modifies intervals in non-logical connectives; exclude boundaries.,,,,,
ke'o,vocative: please repeat.,,,,,
ke'u,discursive: repeating - continuing.,"See also {refbasna}, {krefu}, {rapli}, {velde'a}.",,,,
kei,elidable terminator: end abstraction bridi (often elidable).,,,,,
ki,tense/modal: set/use tense default; establishes new open scope space/time/modal reference base.,,,,,
ki'a,attitudinal question: confusion about something said.,"See also {cfipu}, {kucli}.",,,,
ki'ai,Converts following cmevla or zoi-quote into a nonce interjection/attitudinal.,"See {sa'ei}, {ci'oi}, {tai'i}.",,,,
ki'e,vocative: thanks - no thanks to you.,,,,,
ki'i,"ckini modal, 1st place (related to)               relatively; as a relation of ...",,,,,
ki'o,digit/number: number comma; thousands.,,,,,
ki'u,"krinu modal, 1st place (justified by)             justifiably; because of reason ...",,,,,
ko,"pro-sumti: you (imperative); make it true for you, the listener.",,,,,
ko'a,pro-sumti: he/she/it/they #1 (specified by goi).,,,,,
ko'e,pro-sumti: he/she/it/they #2 (specified by goi).,,,,,
ko'i,pro-sumti: he/she/it/they #3 (specified by goi).,,,,,
ko'o,pro-sumti: he/she/it/they #4 (specified by goi).,,,,,
ko'oi,discursive: imperative/hortative,"``{ko}'' is a short form of ''{do} {ko'oi}''; broader term than {au}, {a'o}, {e'o}, {e'u}, {e'a}, {ei}; {minde}, {cpedu}, {curmi}, {pacna}, {stidi}, {djica}, {bilga}",,,,
ko'u,pro-sumti: he/she/it/they #5 (specified by goi).,,,,,
koi,"korbi modal, 1st place (bordered by)              bounded by ...",,,,,
ku,"elidable terminator: end description, modal, or negator sumti; often elidable.",,,,,
ku'a,non-logical connective: intersection of sets.,,,,,
ku'e,elidable terminator: end mathematical (mex) forethought (Polish) expression; often elidable.,,,,,
ku'i,discursive: however/but/in contrast.,"See also {karbi}, {dukti}, {nalpanra}.",,,,
ku'o,"elidable terminator: end NOI relative clause; always elidable, but preferred in complex clauses.",,,,,
ku'u,"kulnu modal, 1st place                            in culture ...",,,,,
ky,letteral for k.,,,,,
la,name descriptor: the one(s) called ... ; takes name or selbri description.,,,,,
la'a,discursive: probability - improbability.,See also {lakne}.,,,,
la'au,start grammatical name quotation; the quoted text is an identifier and must be grammatical on its own.,Used to make more complex names where simple {la} doesn't apply. Artibrary non-lojban text can be quoted with {la'o}.,,,,
la'e,the referent of (indirect pointer); uses the referent of a sumti as the desired sumti.,,,,,
la'ei,combines LA with DOI,"used to address someone in the 2nd person by name and use that as a sumti at the same time, that is: {do} {doi} {la} {broda} is equivalent to la'ei {broda}",,,,
la'i,name descriptor: the set of those named ... ; takes name or selbri description.,,,,,
la'o,delimited non-Lojban name; the resulting quote sumti is treated as a name.,,,,,
la'oi,single-word non-Lojban name; quotes a single non-Lojban word delimited by pauses and treats it as a name,"See also {la'o}, {zo'oi}.",,,,
la'u,"klani modal, 1st place (amount)                   quantifying ...; being a quantity of ...",,,,,
lai,name descriptor: the mass of individual(s) named ... ; takes name or selbri description.,,,,,
lau,2-word letteral/shift: punctuation mark or special symbol follows.,,,,,
le,non-veridical descriptor: the one(s) described as ...,,,,,
le'a,"klesi modal, 1st place (scalar set)               in/of category ...",,,,,
le'ai,replace recent mistakenly uttered text,"The {lo'ai} ... {sa'ai} ... {le'ai} replacement construct asks the listener to replace the text after {lo'ai} with the text after {sa'ai}.  The order {sa'ai} ... {lo'ai} ... {le'ai} is also allowed, and either or both parts can be omitted and thus left up to context.  When both parts are omitted, the word {le'ai} on its own indicates that a mistake was made while leaving all the details up to context. It is also possible to attach SAI to a le'ai construct: le'ai {dai} (or le'ai {da'oi} ko'a) indicates that someone else made a mistake; le'ai {pei} asks whether someone else made a mistake; and {sai}, {ru'e} and {cu'i} can be used to indicate the importance of the substitution. Furthermore, le'ai {nai} can be used to explicitly deny mistakes instead of acknowledging them (compare sic).",,,,
le'e,non-veridical descriptor: the stereotype of those described as ...,,,,,
le'i,"non-veridical descriptor: the set of those described as ..., treated as a set.",,,,,
le'o,attitudinal modifier: aggressive - passive - defensive.,"See also {gunta}, {bandu}.",,,,
le'u,end quote of questionable or out-of-context text; not elidable.,,,,,
lei,non-veridical descriptor: the mass of individual(s) described as ...,,,,,
li,the number/evaluated expression; convert number/operand/evaluated math expression to sumti.,,,,,
li'a,discursive: clearly - obscurely.,See also {klina}.,,,,
li'ai,unevaluated mekso as name.,"Where la broda brode is to la'e lu broda brode as li'ai by cy is to la'e me'o by cy. See also {li}, {me'o}, {la}, {la'e}.",,,,
li'e,"lidne modal, 1st place                            preceded by ...; non-time sequencing.",,,,,
li'i,abstractor: experience abstractor; x1 is x2's experience of [bridi] (participant or observer).,,,,,
li'o,discursive: omitted text (quoted material).,,,,,
li'u,elidable terminator: end grammatical quotation; seldom elidable except at end of text.,,,,,
lo,veridical descriptor: the one(s) that really is(are) ...,"Terminated with {ku}. Under the xorlo reform, {lo} converts a selbri to a sumti in a rather generic way. In particular, lo broda = {zo'e} noi broda.",,,,
lo'a,shift letterals to Lojban (Roman) alphabet.,,,,,
lo'ai,start quote of recent mistakenly uttered text to be replaced,See {le'ai}.,,,,
lo'e,veridical descriptor: the typical one(s) who really is(are) ...,,,,,
lo'i,"veridical descriptor: the set of those that really are ..., treated as a set.",,,,,
lo'o,elidable terminator: end math express.(mex) sumti; end mex-to-sumti conversion; usually elidable.,,,,,
lo'u,"start questionable/out-of-context quote; text should be Lojban words, but needn't be grammatical.",Terminated by {le'u}.,,,,
loi,veridical descriptor: the mass of individual(s) that is(are) ...,,,,,
lu,start grammatical quotation; quoted text should be grammatical on its own.,,,,,
lu'a,the members of the set/components of the mass; converts another description type to individuals.,,,,,
lu'au,Bridi to text conversion,"Essentially equivalent to {se} in the context of a {se} {du'u}. Inverse of {du'au}; however note that this is not single-valued, while {du'au} (provided context) is single-valued. Hence lu'au du'au is a useful idiom for constructing a text which has the same basic meaning as another text but is not necessarily the same text.",,,,
lu'e,the symbol for (indirect discourse); uses the symbol/word(s) for a sumti as the desired sumti.,,,,,
lu'i,the set with members; converts another description type to a set of the members.,,,,,
lu'o,the mass composed of; converts another description type to a mass composed of the members.,,,,,
lu'u,elidable terminator: end of sumti qualifiers; usually elidable except before a sumti.,,,,,
ly,letteral for l.,,,,,
ma,pro-sumti: sumti question (what/who/how/why/etc.); appropriately fill in sumti blank.,,,,,
ma'a,pro-sumti: me/we the speaker(s)/author(s) & you the listener(s) & others unspecified.,,,,,
ma'e,"marji modal, 1st place                            material in object/substance ...",,,,,
ma'i,"manri modal, 1st place (by standard 2)            in reference frame ...",,,,,
ma'o,convert letteral string or other mathematical expression (mex) operand to mex operator.,,,,,
